Sl.,Grade,Subject,Chapter No.,Chapter,Section Number,Section,Question,Option A,Option B,Option C,Option D,Correct Option,Difficulty
1,10,Maths,1,Real Numbers,0,1.1 Introduction,This chapter continues the discussion of a topic that students began exploring in which class?,Class VIII,Class IX,Class X,Class XI,B,1
2,10,Maths,1,Real Numbers,0,1.1 Introduction,"According to the introduction, the chapter begins with important properties of positive integers, namely Euclid's division algorithm and which other result?",The Fundamental Theorem of Arithmetic,The Remainder Theorem,The Binomial Theorem,The Pythagoras Theorem,A,1
3,10,Maths,1,Real Numbers,0,1.1 Introduction,The introduction states that the Fundamental Theorem of Arithmetic is used to prove the irrationality of numbers such as which of these?,"1/2, 1/3 and 1/5","root 2, root 3 and root 5","2, 3 and 5","pi, e and root 2",B,1
4,10,Maths,1,Real Numbers,0,1.1 Introduction,"As described in the introduction, Euclid's division algorithm is stated simply as: a positive integer a divided by another positive integer b leaves a remainder r such that",r is always zero,r is smaller than b,r is greater than b,r equals b,B,2
5,10,Maths,1,Real Numbers,0,1.1 Introduction,"The introduction mentions that the Fundamental Theorem of Arithmetic is applied, among other things, to explore the nature of the decimal expansion of a rational number p/q by examining",the value of p alone,the prime factorisation of the denominator q,whether p is even or odd,the sum of digits of q,B,2
6,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,What does Theorem 1.1 (the Fundamental Theorem of Arithmetic) state about every composite number?,"It can be expressed as a sum of primes, uniquely","It can be expressed as a product of primes, and this factorisation is unique apart from order",It can be expressed as a product of two primes only,It can never be factorised uniquely,B,1
7,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"In the chapter, the prime factorisation of a natural number is described as unique except for",the number of prime factors,the order of its factors,the value of the largest prime factor,whether the number is even or odd,B,1
8,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"When a composite number x is factorised as x = p1 x p2 x ... x pn with primes written in ascending order, the factorisation becomes unique once",the primes are all distinct,the order is fixed as ascending,n is an even number,x is greater than 100,B,1
9,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"According to the text, the method of finding HCF and LCM using prime factorisation is also known as",the division method,the prime factorisation method,the long division method,the ascending order method,B,1
10,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"In the chapter's explanation, the HCF of two numbers using prime factorisation is found as the product of",the greatest power of each common prime factor,the smallest power of each common prime factor,the greatest power of each prime factor involved,all prime factors regardless of power,B,1
11,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"In the chapter's explanation, the LCM of two numbers using prime factorisation is found as the product of",the smallest power of each common prime factor,the greatest power of each prime factor involved in the numbers,only the prime factors common to both numbers,the sum of all prime factors,B,1
12,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"For any two positive integers a and b, the chapter states that HCF(a, b) times LCM(a, b) equals",a + b,a x b,a - b,a divided by b,B,1
13,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,The factor tree method used in the chapter to factorise numbers like 32760 is a technique for,adding prime numbers together,breaking a number down into its prime factors,finding the square root of a number,testing whether a number is rational,B,1
14,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,Which of these is the correct prime factorisation of 6 as given in the chapter's example?,2 x 3,2 x 2 x 3,3 x 3,6 x 1,A,2
15,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"In Example 2, the prime factorisations of 6 and 20 are given as 6 = 2 x 3 and 20 = 2 x 2 x 5. What is HCF(6, 20)?",4,2,10,60,B,2
16,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Continuing Example 2, what is LCM(6, 20) as computed in the text?",120,60,30,20,B,2
17,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"In Example 3, the prime factorisations given are 96 = 2 to the power 5 x 3 and 404 = 2 x 2 x 101. What is HCF(96, 404)?",2,4,8,101,B,2
18,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"In Example 4, the numbers 6, 72 and 120 are factorised, with 6 = 2 x 3, 72 = 2x2x2x3x3, 120 = 2x2x2x3x5. What is HCF(6, 72, 120) according to the text?",2,3,6,12,C,2
19,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"In Example 4, what is LCM(6, 72, 120) as computed in the text?",240,360,720,120,B,2
20,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"In Example 1, why can 4 to the power n never end with the digit zero, according to the text's reasoning?",Because 4 to the power n is always an odd number,"Because the only prime in the factorisation of 4 to the power n is 2, and 5 is required for a number to end in 0",Because 4 to the power n is always a prime number,Because 4 is not a composite number,B,2
21,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"The Remark following Example 4 points out that for the numbers 6, 72 and 120,",their product equals HCF times LCM,their product is not equal to HCF times LCM,their HCF equals their LCM,their LCM is smaller than their HCF,B,2
22,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,What is the prime factorisation of 140?,2 squared x 5 x 7,2 x 5 squared x 7,2 squared x 7 squared,2 x 5 x 7 squared,A,3
23,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,What is the prime factorisation of 156?,2 x 3 squared x 13,2 squared x 3 x 13,2 squared x 39,3 x 4 x 13,B,3
24,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,What is the prime factorisation of 5005?,5 x 7 x 11 x 13,5 x 7 squared x 13,5 x 11 x 13 squared,7 x 11 x 13 x 5 squared,A,3
25,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Using prime factorisation, what is HCF(26, 91)?",7,13,26,1,B,3
26,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Using prime factorisation, what is LCM(26, 91)?",91,182,26,2366,B,3
27,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Using prime factorisation, what is HCF(12, 15, 21)?",1,3,7,5,B,3
28,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Using prime factorisation, what is LCM(12, 15, 21)?",210,315,420,105,C,3
29,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Using prime factorisation, what is HCF(8, 9, 25)?",1,2,3,5,A,3
30,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"If HCF(306, 657) = 9, what is LCM(306, 657) using the relation for two numbers?",18342,22338,20223,24057,B,3
31,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,What is the prime factorisation of 3825?,3 squared x 5 squared x 17,3 x 5 x 17 squared,3 squared x 5 x 17,3 x 5 squared x 17,A,4
32,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,What is the prime factorisation of 7429?,17 x 19 x 23,17 x 23 x 19 squared,19 x 23 squared,17 squared x 23,A,4
33,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Using prime factorisation, find LCM(510, 92).",11730,23460,46920,9384,B,4
34,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Using prime factorisation, find HCF(336, 54) and use it to state LCM(336, 54).","HCF = 6, LCM = 3024","HCF = 3, LCM = 6048","HCF = 6, LCM = 1512","HCF = 9, LCM = 2016",A,4
35,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Sonia takes 18 minutes and Ravi takes 12 minutes to complete one round of a circular field, starting together from the same point and going in the same direction. After how many minutes will they meet again at the starting point?",30 minutes,24 minutes,36 minutes,6 minutes,C,4
36,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,Two positive integers have HCF 4 and their product is 96. What is their LCM?,4,24,96,384,B,4
37,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Following the reasoning used for 4 to the power n in the text, can 15 to the power n ever end with the digit 0 for a natural number n?","Yes, because 15 is odd","No, because the prime factorisation of 15 to the power n never contains the prime 2","Yes, because 15 ends in 5","No, because 15 is a composite number",B,4
38,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Which of the following numbers, based on the reasoning in the text, can never end with the digit 0 for any natural number n?",10 to the power n,20 to the power n,6 to the power n,30 to the power n,C,4
39,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"If two positive integers p and q are written as p = a squared times b cubed and q = a cubed times b, where a and b are primes, what is HCF(p, q)?",a squared times b,a cubed times b cubed,a squared times b cubed,a times b,A,4
40,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"A student claims that since HCF(a,b) times LCM(a,b) equals a times b for two positive integers, the same relation must also hold for HCF(p,q,r) times LCM(p,q,r) equalling p times q times r for three positive integers. Based on the text's Remark, is this claim correct?","Yes, the relation extends directly to three numbers","No, the text shows an example (6, 72, 120) where this product relation fails for three numbers","Yes, but only when all three numbers are prime","No, because HCF and LCM cannot be defined for three numbers",B,5
41,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"The number 7 x 11 x 13 + 13 can be shown to be composite by factoring out 13, giving 13 x (7 x 11 + 1). What is the resulting value inside the bracket?",77,78,91,79,B,5
42,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Using the same reasoning as in the previous question, why is 7x6x5x4x3x2x1 + 5 composite?","It can be written as 5 x (7x6x4x3x2x1 + 1), so it has 5 as a factor",It is an odd number,It is greater than 100,It has no prime factors,A,5
43,10,Maths,1,Real Numbers,0,1.2 The Fundamental Theorem of Arithmetic,"Two numbers are expressed as m = 2 cubed x 3 squared x 5 and n = 2 squared x 3 cubed x 7. What is HCF(m, n)?",2 squared x 3 squared,2 cubed x 3 cubed,2 squared x 3 squared x 5,2 cubed x 3 squared x 7,A,5
